bucket,rank,ticker,name,group,layer,close,ret5_pct,ret20_pct,volume_ratio20,setup_score,risk_score,spec_risk_label,signals,score_band,atr_pct,_research_score,_action,_reason,pe,pbr,dividend_yield,revenue_yoy_pct,eps_ttm,eps_yoy_pct,roe_pct,gross_margin_pct,operating_margin_pct,debt_to_equity_pct,current_ratio,free_cashflow_ttm,quality_score,value_score,fundamental_action,fundamental_reason,fundamental_data_status
quality_value_research,43,3592.TW,瑞鼎,satellite,quality_value,235.5,-1.67,6.8,2.36,8,1,正常,NONE,進攻優勢區,4.19,14.86,等拉回確認,進攻優勢區,13.21,1.59,6.06,0.7300100819549016,16.0,-36.8595041322314,11.286345365469032,28.576507154154555,5.276860264096811,81.35826667323737,2.008390290083491,812417000.0,4,4,品質價值優先,EPS TTM>0、營收YoY正、負債權益可控、FCF TTM>0,ok
quality_value_research,37,3044.TW,健鼎,satellite,quality_value,486.0,7.28,36.13,1.27,8,4,投機偏高,TREND,進攻優勢區,5.49,13.88,等拉回確認,趨勢成立、風險=投機偏高,24.91,4.71,2.62,24.384693927330158,19.45,,18.902334966980337,25.47109067688701,17.084837262649998,81.47220199890715,1.8040626954237458,18844046000.0,5,1,品質佳但估值要等,EPS TTM>0、營收YoY正、ROE>=12%、負債權益可控、FCF TTM>0,ok
quality_value_research,54,3679.TW,新至陞,satellite,quality_value,119.5,0.42,1.7,0.91,7,1,正常,BASE,偏強可追蹤,1.85,14.34,觀察轉強,量能未過熱,14.13,1.61,7.5,-8.886484927159955,8.489999999999998,-32.40506329113925,11.369450314877259,31.237216474672437,19.633450512606586,98.51210395839624,2.459937424080686,1381359000.0,3,4,可研究但需確認,EPS TTM>0、負債權益可控、FCF TTM>0,ok
quality_value_research,76,3008.TW,大立光,satellite,quality_value,2520.0,-2.33,16.13,0.79,5,0,正常,NONE,開始轉強,4.85,13.73,觀察轉強,量能未過熱,15.89,1.8,3.14,22.571433338979286,157.76,-3.417564208782098,11.35610314103511,49.40510788706104,37.39184547376529,21.3065263786351,4.0240069345553735,33301449000.0,4,4,品質價值優先,EPS TTM>0、營收YoY正、負債權益可控、FCF TTM>0,ok
quality_value_research,64,6486.TWO,互動,satellite,quality_value,84.8,-1.17,-1.4,0.73,6,0,正常,NONE,偏強可追蹤,2.24,13.22,觀察轉強,量能未過熱,15.97,2.49,7.05,6.58166914764049,5.32,-43.269230769230774,15.493736613375763,32.798770433577154,8.311627927000952,97.25474792241873,1.47219533893975,-124727000.0,4,4,品質價值優先,EPS TTM>0、營收YoY正、ROE>=12%、負債權益可控,ok
quality_value_research,59,6510.TWO,精測,satellite,quality_value,3810.0,2.83,14.59,1.2,6,0,正常,TREND,偏強可追蹤,8.47,12.99,觀察轉強,趨勢成立、量能未過熱,107.36,12.24,0.42,30.215291950818845,34.09,54.51851851851852,11.284027819386752,56.770808008923034,29.262199551196193,34.82955469498006,6.1480694570267485,3543693000.0,4,0,品質佳但估值要等,EPS TTM>0、營收YoY正、負債權益可控、FCF TTM>0,ok
quality_value_research,57,2441.TW,超豐,satellite,quality_value,93.2,4.37,8.37,1.34,6,0,正常,TREND,偏強可追蹤,6.05,12.94,觀察轉強,趨勢成立,20.13,2.12,3.19,14.262927668526192,4.67,34.615384615384606,10.516864283060286,23.628816536872364,19.558422681617436,16.114126255896284,3.252024376896593,5361136000.0,4,3,品質價值優先,EPS TTM>0、營收YoY正、負債權益可控、FCF TTM>0,ok
quality_value_research,58,8261.TW,富鼎,satellite,quality_value,122.0,2.95,17.31,0.75,6,1,正常,TREND,偏強可追蹤,6.32,12.54,觀察轉強,趨勢成立、量能未過熱,21.32,2.42,4.02,5.255099392744067,5.8500000000000005,8.275862068965534,11.353978643571102,38.07482019175281,25.664116530842822,12.685725300197165,7.578973895850313,1651208000.0,4,3,品質價值優先,EPS TTM>0、營收YoY正、負債權益可控、FCF TTM>0,ok
quality_value_research,60,2347.TW,聯強,satellite,quality_value,84.5,2.42,7.23,0.93,6,1,正常,NONE,偏強可追蹤,2.7,12.45,觀察轉強,量能未過熱,16.18,1.71,5.11,84.40951000405572,8.08,60.90909090909089,12.515653839822127,4.296405548795907,2.6696096780782117,204.82098155907173,1.3213509942116697,32209795000.0,4,4,品質價值優先,EPS TTM>0、營收YoY正、ROE>=12%、FCF TTM>0,ok
quality_value_research,72,3005.TW,神基,satellite,quality_value,97.3,-0.1,-1.62,0.57,5,0,正常,"BASE,PULLBACK",開始轉強,2.17,12.18,觀察轉強,回檔中、量能未過熱,11.69,2.34,6.91,-7.360786508806038,8.43,,18.642390111442243,31.024438147937488,14.373359763924299,71.08698013658233,2.079732572188908,8703393000.0,4,4,品質價值優先,EPS TTM>0、ROE>=12%、負債權益可控、FCF TTM>0,ok
quality_value_research,71,5225.TW,東科-KY,satellite,quality_value,76.9,2.53,-3.15,0.8,5,0,正常,"BASE,PULLBACK",開始轉強,1.98,11.87,觀察轉強,回檔中、量能未過熱,8.4,1.95,9.28,-2.2478715752435208,9.3,-38.4,23.258548721916636,14.890384954780833,4.924606027213285,116.88407320347297,1.5709865466812465,970629000.0,4,4,品質價值優先,EPS TTM>0、ROE>=12%、負債權益可控、FCF TTM>0,ok
quality_value_research,79,5203.TW,訊連,satellite,quality_value,65.8,3.62,5.11,1.05,4,0,正常,PULLBACK,開始轉強,2.94,11.52,觀察轉強,回檔中、量能未過熱,18.36,1.11,5.36,0.5788510834691118,3.6799999999999997,3.875968992248069,6.070277263383296,84.50628188350584,13.430793359005285,28.579541585747876,2.734572379219369,-1389518000.0,3,3,可研究但需確認,EPS TTM>0、營收YoY正、負債權益可控,ok
quality_value_research,63,2450.TW,神腦,satellite,quality_value,29.6,-0.5,1.37,1.16,6,1,正常,NONE,偏強可追蹤,1.38,11.27,觀察轉強,量能未過熱,19.35,1.25,5.24,31.429994790518112,1.52,-44.44444444444444,6.443107957095432,9.670965582656075,0.7093877086292655,84.39882184925197,1.5997546669527984,1275245000.0,4,3,品質價值優先,EPS TTM>0、營收YoY正、負債權益可控、FCF TTM>0,ok
quality_value_research,62,6776.TW,展碁國際,satellite,quality_value,58.2,-0.34,2.46,1.83,6,1,正常,PULLBACK,偏強可追蹤,2.99,10.99,觀察轉強,回檔中,15.21,1.88,5.22,23.93277599741157,4.33,12.871287128712861,12.143394907137381,6.2607588054633165,2.0635698958453164,292.434850784629,1.0710600252419775,-1520646000.0,3,4,可研究但需確認,EPS TTM>0、營收YoY正、ROE>=12%,ok
quality_value_research,73,2617.TW,台航,satellite,quality_value,29.5,-0.51,-3.28,0.85,5,0,正常,BASE,開始轉強,1.71,10.84,觀察轉強,量能未過熱,8.85,0.67,5.12,11.936981593470142,3.31,22.41379310344829,7.552858232655216,41.988768762948915,38.774623126012266,45.2039642410349,1.6722952586261957,3522805000.0,4,4,品質價值優先,EPS TTM>0、營收YoY正、負債權益可控、FCF TTM>0,ok
