ticker,name,added_date,days_tracked,added_close,close,ret_since_add_pct,ret5_pct,ret10_pct,ret20_pct,rank,entry_bias,buy_zone_low,buy_zone_high,stop_loss,zone_status,heat_status,next_action,action_reason
3213.TWO,茂訊,2026-05-07,2,114.5,115.5,0.87,10.53,8.45,12.68,9,分批試單,113.01,115.5,107.4,買區內,正常,可試單,位於買區且尚未過熱，可做小部位研究單
3158.TWO,嘉實,2026-05-07,2,89.0,89.0,0.0,-1.11,-1.22,-2.09,59,等轉強,90.21,90.89,87.25,買區下方,正常,等轉強,技術條件未完整，等站回關鍵均線與量能確認
6996.TWO,力領科技,2026-05-07,2,189.0,187.5,-0.79,8.07,9.33,17.76,28,等拉回,178.64,184.55,164.5,買區上方,正常,等拉回,價格仍高於或尚未穩定落入理想買區
3556.TWO,禾瑞亞,2026-05-07,2,52.3,52.9,1.15,4.96,-0.19,18.21,48,等轉強,51.3,52.81,46.01,買區上方,正常,等轉強,技術條件未完整，等站回關鍵均線與量能確認
6292.TWO,迅德,2026-05-07,2,50.8,53.3,4.92,18.18,14.13,20.32,13,等拉回,50.11,52.24,44.47,買區上方,偏熱,等拉回,價格仍高於或尚未穩定落入理想買區
