rank,date,ticker,name,group,layer,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,spec_risk_score,spec_risk_label,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score,atr_pct,volatility_tag,grade,rank_change,setup_change,risk_change,status_change
57,2026-05-06,2441.TW,超豐,satellite,quality_value,93.2,-0.85,4.37,-1.17,8.37,16712177,12545271,1.33,91.11,89.69,86.16,-13.3,2.29,6,0,TREND,偏強可追蹤,中段延續中,0,正常,正常,波動劇烈,波動劇烈,0,1,0,0,6.05,活潑,B,0,0,0,FLAT
58,2026-05-06,8261.TW,富鼎,satellite,quality_value,122.0,-2.01,2.95,-4.69,17.31,3275376,4393574,0.75,117.72,105.36,98.7,-4.69,3.63,6,1,TREND,偏強可追蹤,中段延續中,2,正常,正常,波動劇烈、震幅過大、高檔無回檔,"波動劇烈,震幅過大,高檔無回檔",0,2,1,0,6.32,活潑,X,0,0,0,FLAT
59,2026-05-06,2891.TW,中信金,core,midlong_core,54.7,2.24,2.63,3.21,-1.97,67711919,48879223,1.39,53.43,52.67,49.68,-3.19,2.37,6,1,NONE,偏強可追蹤,還在觀察,0,正常,正常,高檔無回檔,高檔無回檔,0,0,1,0,1.95,穩健,B,11,1,0,UP
60,2026-05-06,2347.TW,聯強,satellite,quality_value,84.5,2.8,2.42,-0.35,7.23,5205222,5290329,0.98,82.42,75.5,68.17,-0.35,2.52,6,1,NONE,偏強可追蹤,還在觀察,1,正常,正常,高檔無回檔,高檔無回檔,0,0,1,0,2.7,標準,X,0,0,0,FLAT
61,2026-05-06,2330.TW,台積電,core,midlong_core,2250.0,0.0,1.58,9.76,20.97,31918664,37805691,0.84,2105.25,1935.7,1732.03,-1.1,6.88,6,1,TREND,偏強可追蹤,中段延續中,0,正常,正常,高檔無回檔,高檔無回檔,0,0,1,0,3.06,標準,X,0,0,0,FLAT
62,2026-05-06,6776.TW,展碁國際,satellite,quality_value,58.2,1.22,-0.34,-2.68,2.46,798010,437774,1.82,59.12,59.14,55.95,-20.82,-1.55,6,1,PULLBACK,偏強可追蹤,高檔拉回整理,1,正常,正常,爆量,爆量,0,1,0,0,2.99,標準,B,0,0,0,FLAT
63,2026-05-06,2450.TW,神腦,satellite,quality_value,29.6,0.0,-0.5,-1.82,1.37,228040,198924,1.15,29.89,29.52,29.23,-2.63,-0.97,6,1,NONE,偏強可追蹤,還在觀察,1,正常,正常,高檔無回檔,高檔無回檔,0,0,1,0,1.38,穩健,X,0,0,0,FLAT
64,2026-05-06,6486.TWO,互動,satellite,quality_value,84.8,-0.35,-1.17,-3.64,-1.4,208000,288380,0.72,86.93,84.72,82.38,-6.19,-2.46,6,0,NONE,偏強可追蹤,還在觀察,0,正常,正常,結構相對正常,,0,0,0,0,2.24,標準,X,0,0,0,FLAT
65,2026-05-06,8111.TWO,立碁,theme,short_attack,68.6,-3.11,-3.38,-15.2,13.2,3868280,7194046,0.54,70.26,67.02,67.53,-15.2,-2.37,6,0,NONE,偏強可追蹤,還在觀察,2,正常,正常,波動劇烈、震幅過大,"波動劇烈,震幅過大",0,2,0,0,7.13,劇烈,X,1,0,0,UP
66,2026-05-06,3013.TW,晟銘電,theme,short_attack,107.5,-0.92,-3.59,-2.27,10.26,3047700,4779997,0.64,108.05,105.05,116.32,-23.21,-0.51,6,0,PULLBACK,偏強可追蹤,高檔拉回整理,1,正常,正常,波動劇烈,波動劇烈,0,1,0,0,6.11,活潑,X,-1,0,0,DOWN
67,2026-05-05,00878.TW,國泰永續高股息,etf,midlong_core,26.58,1.64,6.32,8.45,20.65,81020375,89124260,0.91,24.32,23.14,22.12,0.0,9.31,5,2,TREND,開始轉強,中段延續中,0,正常,正常,高檔無回檔,高檔無回檔,0,0,1,0,1.62,穩健,B,0,0,0,FLAT
68,2026-05-06,6510.TWO,精測,satellite,quality_value,3800.0,3.83,2.56,-7.43,14.29,1127733,964155,1.17,3664.5,3598.67,2840.83,-9.52,3.7,5,0,TREND,開始轉強,中段延續中,1,正常,正常,波動劇烈、震幅過大,"波動劇烈,震幅過大",0,2,0,0,8.5,劇烈,X,-9,-1,0,DOWN
69,2026-05-06,5225.TW,東科-KY,satellite,quality_value,76.9,-1.03,2.53,-1.28,-3.15,244010,310077,0.79,77.54,83.54,89.23,-25.69,-0.83,5,0,"BASE,PULLBACK",開始轉強,低檔慢慢墊高,0,正常,正常,結構相對正常,,0,0,0,0,1.98,穩健,X,2,0,0,UP
70,2026-05-06,3005.TW,神基,satellite,quality_value,97.5,-0.71,0.1,-3.47,-1.42,2849519,4290668,0.66,98.76,107.8,111.56,-25.63,-1.28,5,0,"BASE,PULLBACK",開始轉強,低檔慢慢墊高,0,正常,正常,結構相對正常,,0,0,0,0,2.17,標準,X,2,0,0,UP
71,2026-05-06,2617.TW,台航,satellite,quality_value,29.5,0.68,-0.51,-2.16,-3.28,607000,719839,0.84,30.03,30.73,30.66,-11.68,-1.76,5,0,BASE,開始轉強,低檔慢慢墊高,0,正常,正常,結構相對正常,,0,0,0,0,1.71,穩健,X,2,0,0,UP
72,2026-05-06,6201.TW,亞弘電,satellite,quality_value,50.6,0.4,-0.78,-1.94,1.4,46250,37986,1.22,50.65,51.87,53.96,-12.0,-0.11,5,0,NONE,開始轉強,還在觀察,0,正常,正常,結構相對正常,,0,0,0,0,1.81,穩健,X,2,0,0,UP
73,2026-05-06,6962.TW,奕力-KY,satellite,midlong_core,35.0,-1.27,-1.41,2.94,6.87,4697040,6278388,0.75,35.04,34.49,37.3,-21.08,-0.1,5,0,PULLBACK,開始轉強,高檔拉回整理,0,正常,正常,結構相對正常,,0,0,0,0,5.61,活潑,X,2,0,0,UP
74,2026-05-06,3008.TW,大立光,satellite,quality_value,2520.0,-0.98,-2.33,-4.73,16.13,1216076,1755560,0.69,2555.25,2378.5,2299.94,-10.64,-1.38,5,0,NONE,開始轉強,還在觀察,1,正常,正常,震幅過大,震幅過大,0,1,0,0,4.85,活潑,X,2,0,0,UP
75,2026-05-06,5288.TW,豐祥-KY,satellite,quality_value,156.0,-8.77,-8.24,-9.57,11.43,890050,410861,2.17,163.4,148.58,143.38,-11.36,-4.53,5,1,NONE,開始轉強,還在觀察,3,投機偏高,資金擁擠型,爆量、震幅過大、走勢與訊號不匹配,"爆量,震幅過大,走勢與訊號不匹配",0,2,0,1,5.2,活潑,B,2,0,0,UP
76,2026-05-06,2313.TW,華通,satellite,quality_value,250.0,-8.93,4.38,-1.77,-9.09,102029534,81672971,1.25,254.7,226.18,163.31,-12.59,-1.85,4,0,NONE,開始轉強,還在觀察,2,正常,正常,波動劇烈、震幅過大,"波動劇烈,震幅過大",0,2,0,0,7.19,劇烈,X,2,0,0,UP
77,2026-05-06,5203.TW,訊連,satellite,quality_value,65.8,-2.08,3.62,1.7,5.11,283402,272516,1.04,64.06,67.7,80.39,-36.12,2.72,4,0,PULLBACK,開始轉強,高檔拉回整理,0,正常,正常,結構相對正常,,0,0,0,0,2.94,標準,X,2,0,0,UP
78,2026-05-05,0050.TW,元大台灣50,etf,midlong_core,94.6,0.0,1.72,11.89,27.92,76579608,109626334,0.7,86.0,79.04,71.6,0.0,10.0,4,2,TREND,開始轉強,中段延續中,0,正常,正常,波段急漲、高檔無回檔,"波段急漲,高檔無回檔",1,0,1,0,2.21,標準,X,-9,-1,0,DOWN
79,2026-05-05,0052.TW,富邦科技,etf,midlong_core,55.4,0.0,1.0,12.6,29.53,28608240,53535978,0.53,50.08,45.92,60.87,-78.27,10.62,4,1,"TREND,PULLBACK",開始轉強,中段延續中,0,正常,正常,波段急漲、乖離偏大,"波段急漲,乖離偏大",1,0,1,0,2.42,標準,X,-11,-1,0,DOWN
80,2026-05-06,7753.TWO,星亞,satellite,quality_value,42.05,-2.1,-3.89,5.39,3.06,98007,94522,1.04,42.12,41.61,42.16,-14.01,-0.17,4,0,NONE,開始轉強,還在觀察,1,正常,正常,震幅過大,震幅過大,0,1,0,0,5.05,活潑,X,0,0,0,FLAT
81,2026-05-06,00773B.TWO,中信優先金融債,etf,defensive_watch,35.84,0.42,0.03,-0.5,-0.48,1109000,1214150,0.91,35.94,36.04,35.97,-2.3,-0.27,3,1,BASE,一般觀察,低檔慢慢墊高,0,正常,正常,高檔無回檔,高檔無回檔,0,0,1,0,0.42,穩健,X,0,0,0,FLAT
82,2026-05-06,3491.TWO,昇達科,satellite,midlong_core,1620.0,-4.42,0.0,-8.73,-1.22,1906724,1953060,0.98,1685.0,1489.42,1064.3,-10.74,-3.86,3,0,NONE,一般觀察,還在觀察,2,正常,正常,波動劇烈、震幅過大,"波動劇烈,震幅過大",0,2,0,0,7.03,劇烈,X,5,1,0,UP
83,2026-05-06,00772B.TWO,中信高評級公司債,etf,defensive_watch,33.69,0.45,-0.03,-0.94,-0.97,3222000,2608500,1.24,33.9,33.87,33.7,-1.93,-0.61,3,1,NONE,一般觀察,還在觀察,0,正常,正常,高檔無回檔,高檔無回檔,0,0,1,0,0.44,穩健,X,-1,0,0,DOWN
84,2026-05-06,00687B.TWO,國泰20年美債,etf,defensive_watch,27.87,0.5,-0.21,-1.1,-1.76,26922000,21898900,1.23,28.08,28.29,28.19,-4.17,-0.76,3,1,NONE,一般觀察,還在觀察,0,正常,正常,高檔無回檔,高檔無回檔,0,0,1,0,0.51,穩健,X,-1,0,0,DOWN
85,2026-05-06,00679B.TWO,元大美債20年,etf,defensive_watch,26.81,0.49,-0.26,-1.11,-1.83,32574000,32636700,1.0,27.03,27.22,27.13,-4.25,-0.8,3,1,BASE,一般觀察,低檔慢慢墊高,0,正常,正常,高檔無回檔,高檔無回檔,0,0,1,0,0.51,穩健,X,-1,0,0,DOWN
86,2026-05-06,6751.TWO,智聯服務,satellite,quality_value,51.3,-3.02,-1.54,1.38,1.79,36020,45719,0.79,51.67,53.9,54.91,-26.29,-0.72,3,0,PULLBACK,一般觀察,高檔拉回整理,0,正常,正常,結構相對正常,,0,0,0,0,2.47,標準,X,-1,0,0,DOWN
87,2026-05-06,2884.TW,玉山金,core,midlong_core,31.85,0.95,-1.85,-3.34,-1.7,39699184,35256399,1.13,32.43,32.94,32.44,-9.26,-1.78,3,0,NONE,一般觀察,還在觀察,0,正常,正常,結構相對正常,,0,0,0,0,1.74,穩健,X,-1,0,0,DOWN
