rank,date,ticker,name,group,layer,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,spec_risk_score,spec_risk_label,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score,atr_pct,volatility_tag,grade,rank_change,setup_change,risk_change,status_change
14,2026-05-06,5347.TWO,世界,theme,short_attack,169.0,9.74,15.75,22.02,39.67,45628868,37758018,1.21,139.03,128.18,115.42,0.0,21.56,12,5,TREND,進攻優勢區,中段延續中,8,疑似炒作風險高,急拉爆量型,單日急拉、短線急漲、波段急漲,"單日急拉,短線急漲,波段急漲,波動劇烈,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",3,2,3,1,6.3,活潑,X,-1,0,0,DOWN
15,2026-05-06,6525.TW,捷敏-KY,satellite,quality_value,103.0,0.49,14.19,11.11,27.32,2224221,746091,2.98,90.91,84.37,80.46,0.0,13.3,12,4,"SURGE,TREND,ACCEL",進攻優勢區,題材正在發酵,5,投機偏高,急拉爆量型,短線急漲、波段急漲、爆量,"短線急漲,波段急漲,爆量,量能失衡,乖離偏大,高檔無回檔",2,2,2,0,4.17,活潑,A,-1,0,0,DOWN
16,2026-05-06,3057.TW,喬鼎,theme,short_attack,21.3,5.45,13.0,14.21,36.54,959241,657866,1.46,18.78,17.11,17.09,-10.88,13.39,12,3,"TREND,ACCEL",進攻優勢區,轉強速度有出來,2,正常,正常,短線急漲、波段急漲、震幅過大,"短線急漲,波段急漲,震幅過大,乖離偏大",2,1,1,0,5.0,活潑,A,-1,0,0,DOWN
17,2026-05-06,4919.TW,新唐,theme,short_attack,161.0,-2.42,8.05,11.42,83.37,8800609,16739270,0.53,131.72,96.93,75.3,-2.42,22.22,12,7,TREND,高風險追價區,有點過熱，別硬追,7,疑似炒作風險高,急拉爆量型,波段急漲、20日飆漲、波動劇烈,"波段急漲,20日飆漲,波動劇烈,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",2,2,3,1,8.27,劇烈,C,-1,0,0,DOWN
18,2026-05-06,3231.TW,緯創,theme,short_attack,146.5,3.17,4.27,1.38,18.62,70542921,42079409,1.68,138.62,132.7,138.0,-7.57,5.68,12,0,TREND,進攻優勢區,中段延續中,0,正常,正常,結構相對正常,,0,0,0,0,3.12,標準,B,-1,0,0,DOWN
19,2026-05-06,2454.TW,聯發科,core,midlong_core,3430.0,8.72,31.17,64.11,133.33,36338977,16241522,2.24,2215.25,1882.92,1627.51,0.0,54.84,11,10,"SURGE,TREND,ACCEL",高風險追價區,有點過熱，別硬追,9,疑似炒作風險高,急拉爆量型,單日急拉、短線急漲、5日過熱,"單日急拉,短線急漲,5日過熱,波段急漲,20日飆漲,爆量,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",5,2,3,1,5.33,活潑,C,0,0,0,FLAT
20,2026-05-06,8064.TWO,東捷,core,midlong_core,112.5,-10.0,30.36,35.05,73.61,29609771,17342357,1.71,87.03,66.95,56.12,-10.0,29.27,11,8,"SURGE,TREND,ACCEL",高風險追價區,有點過熱，別硬追,7,疑似炒作風險高,急拉爆量型,短線急漲、5日過熱、波段急漲,"短線急漲,5日過熱,波段急漲,20日飆漲,波動劇烈,震幅過大,乖離偏大,乖離過大,追價風險高",4,2,2,1,7.87,劇烈,C,-2,0,0,DOWN
21,2026-05-06,3450.TW,聯鈞,theme,short_attack,343.5,-5.89,12.44,-9.61,33.14,25693953,22761800,1.13,328.68,288.57,271.36,-10.31,4.51,11,2,TREND,進攻優勢區,中段延續中,2,正常,正常,短線急漲、波段急漲、波動劇烈,"短線急漲,波段急漲,波動劇烈,震幅過大",2,2,0,0,8.22,劇烈,B,-1,0,0,DOWN
22,2026-05-06,2317.TW,鴻海,core,midlong_core,252.0,5.22,11.75,19.43,31.25,233432260,82918678,2.82,216.65,215.02,222.87,0.0,16.32,11,7,"SURGE,TREND,ACCEL",高風險追價區,有點過熱，別硬追,4,投機偏高,高檔脫離型,波段急漲、爆量、量能失衡,"波段急漲,爆量,量能失衡,乖離偏大,高檔無回檔,追價風險高",1,2,2,1,3.63,標準,C,-1,0,0,DOWN
23,2026-05-06,2376.TW,技嘉,satellite,quality_value,301.0,7.69,6.93,4.33,35.28,23499734,10739929,2.19,275.2,245.68,246.42,0.0,9.38,11,5,"SURGE,TREND",進攻優勢區,題材正在發酵,5,投機偏高,急拉爆量型,單日急拉、波段急漲、爆量,"單日急拉,波段急漲,爆量,震幅過大,高檔無回檔,追價風險高",2,2,1,1,3.52,標準,X,0,0,0,FLAT
