ticker,pe,pbr,dividend_yield,revenue_yoy_pct,eps_ttm,eps_yoy_pct,roe_pct,gross_margin_pct,operating_margin_pct,debt_to_equity_pct,current_ratio,operating_cashflow_ttm,free_cashflow_ttm,quality_score,value_score,fundamental_action,fundamental_reason,fundamental_data_status
2374.TW,33.33,3.27,2.22,92.19686016366651,2.52,,9.062835125505424,21.66969813522746,8.173522218987058,49.16345570254105,1.527740982968096,-193501000.0,-1214950000.0,3,0,品質觀察,EPS TTM>0、營收YoY正、負債權益可控,ok
2312.TW,27.02,1.86,2.14,-13.071186928393796,1.05,,5.870403860560885,5.359357788421824,1.6579748409387147,222.8409745456981,1.1796058846996829,23115588000.0,14933368000.0,2,1,資料/品質不足,EPS TTM>0、FCF TTM>0,ok
2495.TW,36.86,2.48,1.92,61.01261094999562,1.12,,6.710642818810028,43.30991972895036,9.759070220402783,60.58407398316955,2.433600896712178,121241000.0,96596000.0,4,1,品質佳但估值要等,EPS TTM>0、營收YoY正、負債權益可控、FCF TTM>0,ok
5299.TWO,19.3,1.5,3.93,-0.3048166586817169,4.84,18.705035971223012,7.773340116214773,34.473500426786686,13.179172809808334,23.072266124878745,2.8952805739208456,1012586000.0,995874000.0,3,3,可研究但需確認,EPS TTM>0、負債權益可控、FCF TTM>0,ok
3034.TW,17.21,3.55,5.48,-9.640240714461,24.41,-28.4393063583815,20.64708902946656,39.0571728527382,17.401137500770673,44.12586146263445,3.637430758672246,38261960000.0,35732416000.0,4,3,品質價值優先,EPS TTM>0、ROE>=12%、負債權益可控、FCF TTM>0,ok
4995.TWO,16.06,2.05,4.56,22.74608197427304,2.73,94.23076923076924,12.736618243828996,33.133135173060296,12.744073387230598,95.4345435750671,1.5512731538047997,204754000.0,184490000.0,5,4,品質價值優先,EPS TTM>0、營收YoY正、ROE>=12%、負債權益可控、FCF TTM>0,ok
3168.TW,17.22,1.94,6.55,10.67596496495189,2.65,7.14285714285714,10.547407130077444,22.809718740657267,6.785180415334728,58.63767015888968,1.9729747700830091,553754000.0,450937000.0,4,4,品質價值優先,EPS TTM>0、營收YoY正、負債權益可控、FCF TTM>0,ok
6161.TWO,15.1,1.85,4.89,40.76126498759132,2.97,45.61403508771931,12.280848331874887,35.97540887331731,11.519212533911634,33.56705113942012,2.908213319157162,319197000.0,288540000.0,5,4,品質價值優先,EPS TTM>0、營收YoY正、ROE>=12%、負債權益可控、FCF TTM>0,ok
5490.TWO,17.22,1.8,5.44,32.93049348673576,1.64,-6.666666666666677,10.76295183525877,44.71199319535016,17.460958321519705,32.08769387608024,4.200793509950564,-370937000.0,-383833000.0,3,4,可研究但需確認,EPS TTM>0、營收YoY正、負債權益可控,ok
6751.TWO,10.17,1.22,5.67,8.76305224736078,5.19,-6.25,14.479565255975904,10.81040750696912,2.4749295518785805,48.7974065702309,1.740678923404991,-260183000.0,-284307000.0,4,4,品質價值優先,EPS TTM>0、營收YoY正、ROE>=12%、負債權益可控,ok
4966.TWO,17.36,1.94,3.14,3.359905058330903,33.05,-19.21241050119333,11.647437192343205,40.29774917325316,13.531829440258422,16.357509808728395,4.976031194123503,8016916000.0,7637952000.0,4,4,品質價值優先,EPS TTM>0、營收YoY正、負債權益可控、FCF TTM>0,ok
1560.TW,61.9,10.34,0.87,18.81566954135241,9.28,,16.454979083736912,34.18455959274485,15.494831955679322,56.18588909138246,2.5122286543897405,4278593000.0,1853439000.0,5,0,品質佳但估值要等,EPS TTM>0、營收YoY正、ROE>=12%、負債權益可控、FCF TTM>0,ok
4953.TWO,14.44,2.14,4.1,32.947625173938235,9.26,53.64238410596025,15.92813872610458,14.23428146751612,5.720815584871043,53.361566530793525,2.6554326120950025,-323624000.0,-368000000.0,4,4,品質價值優先,EPS TTM>0、營收YoY正、ROE>=12%、負債權益可控,ok
3592.TW,13.21,1.59,6.06,0.7300100819549016,16.0,-36.8595041322314,11.286345365469032,28.576507154154555,5.276860264096811,81.35826667323737,2.008390290083491,1423371000.0,812417000.0,4,4,品質價值優先,EPS TTM>0、營收YoY正、負債權益可控、FCF TTM>0,ok
3044.TW,24.91,4.71,2.62,24.38469392733016,19.45,,18.902334966980337,25.47109067688701,17.084837262649998,81.47220199890715,1.8040626954237455,30024315000.0,18844046000.0,5,1,品質佳但估值要等,EPS TTM>0、營收YoY正、ROE>=12%、負債權益可控、FCF TTM>0,ok
3679.TW,14.13,1.61,7.5,-8.886484927159955,8.489999999999998,-32.40506329113925,11.36945031487726,31.23721647467244,19.633450512606583,98.51210395839624,2.459937424080686,1854514000.0,1381359000.0,3,4,可研究但需確認,EPS TTM>0、負債權益可控、FCF TTM>0,ok
3008.TW,15.89,1.8,3.14,22.571433338979286,157.76,-3.417564208782098,11.35610314103511,49.40510788706104,37.39184547376529,21.3065263786351,4.0240069345553735,63974417000.0,33301449000.0,4,4,品質價值優先,EPS TTM>0、營收YoY正、負債權益可控、FCF TTM>0,ok
6486.TWO,15.97,2.49,7.05,6.58166914764049,5.32,-43.26923076923077,15.493736613375765,32.798770433577154,8.311627927000952,97.25474792241872,1.47219533893975,-99680000.0,-124727000.0,4,4,品質價值優先,EPS TTM>0、營收YoY正、ROE>=12%、負債權益可控,ok
2441.TW,20.13,2.12,3.19,14.262927668526192,4.67,34.615384615384606,10.516864283060286,23.628816536872364,19.55842268161744,16.114126255896284,3.252024376896593,12222787000.0,5361136000.0,4,3,品質價值優先,EPS TTM>0、營收YoY正、負債權益可控、FCF TTM>0,ok
8261.TW,21.32,2.42,4.02,5.255099392744067,5.8500000000000005,8.275862068965534,11.353978643571102,38.07482019175281,25.664116530842826,12.685725300197165,7.578973895850313,1703751000.0,1651208000.0,4,3,品質價值優先,EPS TTM>0、營收YoY正、負債權益可控、FCF TTM>0,ok
2347.TW,16.18,1.71,5.11,84.40951000405572,8.08,60.90909090909089,12.515653839822129,4.296405548795907,2.669609678078212,204.82098155907173,1.3213509942116697,33619486000.0,32209795000.0,4,4,品質價值優先,EPS TTM>0、營收YoY正、ROE>=12%、FCF TTM>0,ok
3005.TW,11.69,2.34,6.91,-7.360786508806038,8.43,,18.642390111442243,31.024438147937488,14.3733597639243,71.08698013658233,2.079732572188908,12999991000.0,8703393000.0,4,4,品質價值優先,EPS TTM>0、ROE>=12%、負債權益可控、FCF TTM>0,ok
5225.TW,8.4,1.95,9.28,-2.2478715752435208,9.3,-38.4,23.25854872191664,14.890384954780831,4.924606027213285,116.88407320347297,1.5709865466812465,1547393000.0,970629000.0,4,4,品質價值優先,EPS TTM>0、ROE>=12%、負債權益可控、FCF TTM>0,ok
5203.TW,18.36,1.11,5.36,0.5788510834691118,3.68,3.875968992248069,6.070277263383296,84.50628188350584,13.430793359005284,28.57954158574788,2.734572379219369,-1357130000.0,-1389518000.0,3,3,可研究但需確認,EPS TTM>0、營收YoY正、負債權益可控,ok
2450.TW,19.35,1.25,5.24,31.429994790518112,1.52,-44.44444444444444,6.443107957095432,9.670965582656075,0.7093877086292655,84.39882184925197,1.5997546669527984,1365474000.0,1275245000.0,4,3,品質價值優先,EPS TTM>0、營收YoY正、負債權益可控、FCF TTM>0,ok
6776.TW,15.21,1.88,5.22,23.93277599741157,4.33,12.87128712871286,12.14339490713738,6.2607588054633165,2.0635698958453164,292.434850784629,1.0710600252419775,-420137000.0,-1520646000.0,3,4,可研究但需確認,EPS TTM>0、營收YoY正、ROE>=12%,ok
6510.TWO,107.36,12.24,0.42,30.215291950818845,34.09,54.51851851851852,11.284027819386752,56.77080800892304,29.262199551196197,34.82955469498006,6.1480694570267485,3891972000.0,3543693000.0,4,0,品質佳但估值要等,EPS TTM>0、營收YoY正、負債權益可控、FCF TTM>0,ok
2617.TW,8.85,0.67,5.12,11.936981593470142,3.31,22.41379310344829,7.552858232655216,41.98876876294892,38.774623126012266,45.2039642410349,1.6722952586261957,5613648000.0,3522805000.0,4,4,品質價值優先,EPS TTM>0、營收YoY正、負債權益可控、FCF TTM>0,ok
6201.TW,15.32,1.72,6.15,6.287906072174598,3.28,-40.18691588785048,11.234672800100522,23.471228562380983,10.420448862797803,41.798549796352425,2.900858579326681,989835000.0,903214000.0,4,4,品質價值優先,EPS TTM>0、營收YoY正、負債權益可控、FCF TTM>0,ok
7753.TWO,10.4,1.86,3.49,,4.3,9.090909090909104,17.87573506895245,37.35988260710064,11.557392084131578,62.24855408325504,2.1478172461795944,253621000.0,-89078000.0,3,4,可研究但需確認,EPS TTM>0、ROE>=12%、負債權益可控,ok
5288.TW,14.05,1.93,3.8,23.064942030779378,12.07,-5.026455026455023,13.6629991738692,23.239574312211477,14.464748791321286,33.266057150449235,2.368604482283711,2669049000.0,1649376000.0,5,4,品質價值優先,EPS TTM>0、營收YoY正、ROE>=12%、負債權益可控、FCF TTM>0,ok
2313.TW,49.82,6.84,1.02,-2.861974380401855,5.51,,13.720229147266544,18.700751948962008,10.971290843576906,89.07644099253133,1.6658671591241534,25661227000.0,9918096000.0,4,0,品質佳但估值要等,EPS TTM>0、ROE>=12%、負債權益可控、FCF TTM>0,ok
6525.TW,16.89,3.02,4.88,11.929823767822256,6.07,14.084507042253524,17.866685639839467,26.14073154468729,19.12139486393593,65.52991820783788,1.8344371587274375,3071537000.0,2391031000.0,5,3,品質價值優先,EPS TTM>0、營收YoY正、ROE>=12%、負債權益可控、FCF TTM>0,ok
2376.TW,15.36,3.17,4.29,74.8382741036844,18.19,,21.70729739732068,10.284108587342937,4.256093253425532,155.1105052789658,1.7075877902592314,13882735000.0,11908926000.0,4,3,品質價值優先,EPS TTM>0、營收YoY正、ROE>=12%、FCF TTM>0,ok
3088.TWO,20.49,2.46,2.59,30.52191896591463,5.69,81.4516129032258,12.11744593143369,34.02967098211149,12.882765242348231,54.33483744516092,2.237000211363242,1223668000.0,1025995000.0,5,2,品質價值優先,EPS TTM>0、營收YoY正、ROE>=12%、負債權益可控、FCF TTM>0,ok
2345.TW,52.94,24.24,0.6,44.42676270932458,47.13,,45.64216270467988,17.89719402768047,12.652750297874354,148.51327183258877,1.4731352889674816,70002047000.0,59531476000.0,4,0,品質佳但估值要等,EPS TTM>0、營收YoY正、ROE>=12%、FCF TTM>0,ok
2383.TW,102.6,35.35,0.53,93.61728577894677,46.55,48.85114885114885,34.46617016132928,29.42231290338804,21.557485514146453,173.3183795349569,1.3275745946695732,23625345000.0,-3302749000.0,3,0,品質觀察,EPS TTM>0、營收YoY正、ROE>=12%,ok
4967.TW,7.4,3.46,3.46,120.49265370477112,39.07,2600.0,46.78227984370488,38.01304306582142,32.11852194508097,208.6425176803116,1.633001792551755,-9356044000.0,-9625980000.0,3,3,可研究但需確認,EPS TTM>0、營收YoY正、ROE>=12%,ok
